"","model_type","fixed_effects","random_effects","cv","formula_k","formula_alpha","formula_beta","model"
"1","ne","FE","RE","CV","~ 1",NA,NA,1
"2","ne","FE","RE","CV","~ 1 + N",NA,NA,2
"3","ne","FE","RE","CV","~ 1 + C",NA,NA,3
"4","ne","FE","RE","CV","~ 1 + SLA",NA,NA,4
"5","ne","FE","RE","CV","~ 1 + DMC",NA,NA,5
"6","ne","FE","RE","CV","~ 1 + HC",NA,NA,6
"7","ne","FE","RE","CV","~ 1 + CL",NA,NA,7
"8","ne","FE","RE","CV","~ 1 + LG",NA,NA,8
"9","ne","FE","noRE","CV","~ 1",NA,NA,9
"10","ne","FE","noRE","CV","~ 1 + N",NA,NA,10
"11","ne","FE","noRE","CV","~ 1 + C",NA,NA,11
"12","ne","FE","noRE","CV","~ 1 + SLA",NA,NA,12
"13","ne","FE","noRE","CV","~ 1 + DMC",NA,NA,13
"14","ne","FE","noRE","CV","~ 1 + HC",NA,NA,14
"15","ne","FE","noRE","CV","~ 1 + CL",NA,NA,15
"16","ne","FE","noRE","CV","~ 1 + LG",NA,NA,16
"17","ne","FE","RE","noCV","~ 1",NA,NA,17
"18","ne","FE","RE","noCV","~ 1 + N",NA,NA,18
"19","ne","FE","RE","noCV","~ 1 + C",NA,NA,19
"20","ne","FE","RE","noCV","~ 1 + SLA",NA,NA,20
"21","ne","FE","RE","noCV","~ 1 + DMC",NA,NA,21
"22","ne","FE","RE","noCV","~ 1 + HC",NA,NA,22
"23","ne","FE","RE","noCV","~ 1 + CL",NA,NA,23
"24","ne","FE","RE","noCV","~ 1 + LG",NA,NA,24
"25","ne","FE","noRE","noCV","~ 1",NA,NA,25
"26","ne","FE","noRE","noCV","~ 1 + N",NA,NA,26
"27","ne","FE","noRE","noCV","~ 1 + C",NA,NA,27
"28","ne","FE","noRE","noCV","~ 1 + SLA",NA,NA,28
"29","ne","FE","noRE","noCV","~ 1 + DMC",NA,NA,29
"30","ne","FE","noRE","noCV","~ 1 + HC",NA,NA,30
"31","ne","FE","noRE","noCV","~ 1 + CL",NA,NA,31
"32","ne","FE","noRE","noCV","~ 1 + LG",NA,NA,32
"33","ne","noFE","noRE","CV","~ 1",NA,NA,33
"34","w","FE","noRE","CV",NA,"~ 1","~ 1",34
"35","w","FE","noRE","CV",NA,"~ 1 + N","~ 1",35
"36","w","FE","noRE","CV",NA,"~ 1 + C","~ 1",36
"37","w","FE","noRE","CV",NA,"~ 1 + SLA","~ 1",37
"38","w","FE","noRE","CV",NA,"~ 1 + DMC","~ 1",38
"39","w","FE","noRE","CV",NA,"~ 1 + HC","~ 1",39
"40","w","FE","noRE","CV",NA,"~ 1 + CL","~ 1",40
"41","w","FE","noRE","CV",NA,"~ 1 + LG","~ 1",41
"42","w","FE","noRE","CV",NA,"~ 1","~ 1 + N",42
"43","w","FE","noRE","CV",NA,"~ 1 + N","~ 1 + N",43
"44","w","FE","noRE","CV",NA,"~ 1 + C","~ 1 + N",44
"45","w","FE","noRE","CV",NA,"~ 1 + SLA","~ 1 + N",45
"46","w","FE","noRE","CV",NA,"~ 1 + DMC","~ 1 + N",46
"47","w","FE","noRE","CV",NA,"~ 1 + HC","~ 1 + N",47
"48","w","FE","noRE","CV",NA,"~ 1 + CL","~ 1 + N",48
"49","w","FE","noRE","CV",NA,"~ 1 + LG","~ 1 + N",49
"50","w","FE","noRE","CV",NA,"~ 1","~ 1 + C",50
"51","w","FE","noRE","CV",NA,"~ 1 + N","~ 1 + C",51
"52","w","FE","noRE","CV",NA,"~ 1 + C","~ 1 + C",52
"53","w","FE","noRE","CV",NA,"~ 1 + SLA","~ 1 + C",53
"54","w","FE","noRE","CV",NA,"~ 1 + DMC","~ 1 + C",54
"55","w","FE","noRE","CV",NA,"~ 1 + HC","~ 1 + C",55
"56","w","FE","noRE","CV",NA,"~ 1 + CL","~ 1 + C",56
"57","w","FE","noRE","CV",NA,"~ 1 + LG","~ 1 + C",57
"58","w","FE","noRE","CV",NA,"~ 1","~ 1 + SLA",58
"59","w","FE","noRE","CV",NA,"~ 1 + N","~ 1 + SLA",59
"60","w","FE","noRE","CV",NA,"~ 1 + C","~ 1 + SLA",60
"61","w","FE","noRE","CV",NA,"~ 1 + SLA","~ 1 + SLA",61
"62","w","FE","noRE","CV",NA,"~ 1 + DMC","~ 1 + SLA",62
"63","w","FE","noRE","CV",NA,"~ 1 + HC","~ 1 + SLA",63
"64","w","FE","noRE","CV",NA,"~ 1 + CL","~ 1 + SLA",64
"65","w","FE","noRE","CV",NA,"~ 1 + LG","~ 1 + SLA",65
"66","w","FE","noRE","CV",NA,"~ 1","~ 1 + DMC",66
"67","w","FE","noRE","CV",NA,"~ 1 + N","~ 1 + DMC",67
"68","w","FE","noRE","CV",NA,"~ 1 + C","~ 1 + DMC",68
"69","w","FE","noRE","CV",NA,"~ 1 + SLA","~ 1 + DMC",69
"70","w","FE","noRE","CV",NA,"~ 1 + DMC","~ 1 + DMC",70
"71","w","FE","noRE","CV",NA,"~ 1 + HC","~ 1 + DMC",71
"72","w","FE","noRE","CV",NA,"~ 1 + CL","~ 1 + DMC",72
"73","w","FE","noRE","CV",NA,"~ 1 + LG","~ 1 + DMC",73
"74","w","FE","noRE","CV",NA,"~ 1","~ 1 + HC",74
"75","w","FE","noRE","CV",NA,"~ 1 + N","~ 1 + HC",75
"76","w","FE","noRE","CV",NA,"~ 1 + C","~ 1 + HC",76
"77","w","FE","noRE","CV",NA,"~ 1 + SLA","~ 1 + HC",77
"78","w","FE","noRE","CV",NA,"~ 1 + DMC","~ 1 + HC",78
"79","w","FE","noRE","CV",NA,"~ 1 + HC","~ 1 + HC",79
"80","w","FE","noRE","CV",NA,"~ 1 + CL","~ 1 + HC",80
"81","w","FE","noRE","CV",NA,"~ 1 + LG","~ 1 + HC",81
"82","w","FE","noRE","CV",NA,"~ 1","~ 1 + CL",82
"83","w","FE","noRE","CV",NA,"~ 1 + N","~ 1 + CL",83
"84","w","FE","noRE","CV",NA,"~ 1 + C","~ 1 + CL",84
"85","w","FE","noRE","CV",NA,"~ 1 + SLA","~ 1 + CL",85
"86","w","FE","noRE","CV",NA,"~ 1 + DMC","~ 1 + CL",86
"87","w","FE","noRE","CV",NA,"~ 1 + HC","~ 1 + CL",87
"88","w","FE","noRE","CV",NA,"~ 1 + CL","~ 1 + CL",88
"89","w","FE","noRE","CV",NA,"~ 1 + LG","~ 1 + CL",89
"90","w","FE","noRE","CV",NA,"~ 1","~ 1 + LG",90
"91","w","FE","noRE","CV",NA,"~ 1 + N","~ 1 + LG",91
"92","w","FE","noRE","CV",NA,"~ 1 + C","~ 1 + LG",92
"93","w","FE","noRE","CV",NA,"~ 1 + SLA","~ 1 + LG",93
"94","w","FE","noRE","CV",NA,"~ 1 + DMC","~ 1 + LG",94
"95","w","FE","noRE","CV",NA,"~ 1 + HC","~ 1 + LG",95
"96","w","FE","noRE","CV",NA,"~ 1 + CL","~ 1 + LG",96
"97","w","FE","noRE","CV",NA,"~ 1 + LG","~ 1 + LG",97
"98","w","FE","RE","noCV",NA,"~ 1","~ 1",98
"99","w","FE","RE","noCV",NA,"~ 1 + N","~ 1",99
"100","w","FE","RE","noCV",NA,"~ 1 + C","~ 1",100
"101","w","FE","RE","noCV",NA,"~ 1 + SLA","~ 1",101
"102","w","FE","RE","noCV",NA,"~ 1 + DMC","~ 1",102
"103","w","FE","RE","noCV",NA,"~ 1 + HC","~ 1",103
"104","w","FE","RE","noCV",NA,"~ 1 + CL","~ 1",104
"105","w","FE","RE","noCV",NA,"~ 1 + LG","~ 1",105
"106","w","FE","RE","noCV",NA,"~ 1","~ 1 + N",106
"107","w","FE","RE","noCV",NA,"~ 1 + N","~ 1 + N",107
"108","w","FE","RE","noCV",NA,"~ 1 + C","~ 1 + N",108
"109","w","FE","RE","noCV",NA,"~ 1 + SLA","~ 1 + N",109
"110","w","FE","RE","noCV",NA,"~ 1 + DMC","~ 1 + N",110
"111","w","FE","RE","noCV",NA,"~ 1 + HC","~ 1 + N",111
"112","w","FE","RE","noCV",NA,"~ 1 + CL","~ 1 + N",112
"113","w","FE","RE","noCV",NA,"~ 1 + LG","~ 1 + N",113
"114","w","FE","RE","noCV",NA,"~ 1","~ 1 + C",114
"115","w","FE","RE","noCV",NA,"~ 1 + N","~ 1 + C",115
"116","w","FE","RE","noCV",NA,"~ 1 + C","~ 1 + C",116
"117","w","FE","RE","noCV",NA,"~ 1 + SLA","~ 1 + C",117
"118","w","FE","RE","noCV",NA,"~ 1 + DMC","~ 1 + C",118
"119","w","FE","RE","noCV",NA,"~ 1 + HC","~ 1 + C",119
"120","w","FE","RE","noCV",NA,"~ 1 + CL","~ 1 + C",120
"121","w","FE","RE","noCV",NA,"~ 1 + LG","~ 1 + C",121
"122","w","FE","RE","noCV",NA,"~ 1","~ 1 + SLA",122
"123","w","FE","RE","noCV",NA,"~ 1 + N","~ 1 + SLA",123
"124","w","FE","RE","noCV",NA,"~ 1 + C","~ 1 + SLA",124
"125","w","FE","RE","noCV",NA,"~ 1 + SLA","~ 1 + SLA",125
"126","w","FE","RE","noCV",NA,"~ 1 + DMC","~ 1 + SLA",126
"127","w","FE","RE","noCV",NA,"~ 1 + HC","~ 1 + SLA",127
"128","w","FE","RE","noCV",NA,"~ 1 + CL","~ 1 + SLA",128
"129","w","FE","RE","noCV",NA,"~ 1 + LG","~ 1 + SLA",129
"130","w","FE","RE","noCV",NA,"~ 1","~ 1 + DMC",130
"131","w","FE","RE","noCV",NA,"~ 1 + N","~ 1 + DMC",131
"132","w","FE","RE","noCV",NA,"~ 1 + C","~ 1 + DMC",132
"133","w","FE","RE","noCV",NA,"~ 1 + SLA","~ 1 + DMC",133
"134","w","FE","RE","noCV",NA,"~ 1 + DMC","~ 1 + DMC",134
"135","w","FE","RE","noCV",NA,"~ 1 + HC","~ 1 + DMC",135
"136","w","FE","RE","noCV",NA,"~ 1 + CL","~ 1 + DMC",136
"137","w","FE","RE","noCV",NA,"~ 1 + LG","~ 1 + DMC",137
"138","w","FE","RE","noCV",NA,"~ 1","~ 1 + HC",138
"139","w","FE","RE","noCV",NA,"~ 1 + N","~ 1 + HC",139
"140","w","FE","RE","noCV",NA,"~ 1 + C","~ 1 + HC",140
"141","w","FE","RE","noCV",NA,"~ 1 + SLA","~ 1 + HC",141
"142","w","FE","RE","noCV",NA,"~ 1 + DMC","~ 1 + HC",142
"143","w","FE","RE","noCV",NA,"~ 1 + HC","~ 1 + HC",143
"144","w","FE","RE","noCV",NA,"~ 1 + CL","~ 1 + HC",144
"145","w","FE","RE","noCV",NA,"~ 1 + LG","~ 1 + HC",145
"146","w","FE","RE","noCV",NA,"~ 1","~ 1 + CL",146
"147","w","FE","RE","noCV",NA,"~ 1 + N","~ 1 + CL",147
"148","w","FE","RE","noCV",NA,"~ 1 + C","~ 1 + CL",148
"149","w","FE","RE","noCV",NA,"~ 1 + SLA","~ 1 + CL",149
"150","w","FE","RE","noCV",NA,"~ 1 + DMC","~ 1 + CL",150
"151","w","FE","RE","noCV",NA,"~ 1 + HC","~ 1 + CL",151
"152","w","FE","RE","noCV",NA,"~ 1 + CL","~ 1 + CL",152
"153","w","FE","RE","noCV",NA,"~ 1 + LG","~ 1 + CL",153
"154","w","FE","RE","noCV",NA,"~ 1","~ 1 + LG",154
"155","w","FE","RE","noCV",NA,"~ 1 + N","~ 1 + LG",155
"156","w","FE","RE","noCV",NA,"~ 1 + C","~ 1 + LG",156
"157","w","FE","RE","noCV",NA,"~ 1 + SLA","~ 1 + LG",157
"158","w","FE","RE","noCV",NA,"~ 1 + DMC","~ 1 + LG",158
"159","w","FE","RE","noCV",NA,"~ 1 + HC","~ 1 + LG",159
"160","w","FE","RE","noCV",NA,"~ 1 + CL","~ 1 + LG",160
"161","w","FE","RE","noCV",NA,"~ 1 + LG","~ 1 + LG",161
"162","w","FE","noRE","noCV",NA,"~ 1","~ 1",162
